ticket_id,fine,violation_code,entity,car_make,issue_time,latitude,longitude,total_tickets,officer_badge,amount_paid,location,meter_id,meter_status,rate,date_issued
5568112704,30.0,29,3676855,GMC,09:16 AM,39.99685,-83.006468,0,10.0,45.0,30 12TH AVE E@PEARL ST N,UE170,Operational,  $.75,2018-01-19
5568373793,30.0,29,3669386,BMW,08:26 AM,39.996801,-83.006971,0,7.0,30.0,100 BLOCK 12TH AVE E,UE170,Operational,  $.75,2018-04-10
5568060075,50.0,26,3554693,NISS,12:19 PM,39.97693,-83.002396,0,8.0,50.0,AF 35 LINCOLN ST E,G25,Operational,  $.75,2017-12-19
5568060064,50.0,26,3669723,CHRY,12:09 PM,39.98209,-83.009867,0,8.0,0.0,1002 HUNTER AVE,G25,Operational,  $.75,2017-12-19
5568122412,30.0,29,3348829,HYUN,07:25 PM,39.98639,-83.044821,0,19.0,30.0,1407 GRANDVIEW AVE,G25,Operational,  $.75,2018-01-21
5568060016,30.0,29,3669692,CHEV,09:33 AM,39.98647,-83.044821,0,8.0,45.0,GRANDVIEW AVE@5TH AVE W,G25,Operational,  $.75,2017-12-19
5568060020,50.0,72,2955746,TOYT,10:39 AM,39.98349,-83.009909,0,8.0,65.0,HUNTER AVE@3RD AVE W,G25,Operational,  $.75,2017-12-19
5568060565,55.0,14,3669755,NISS,02:44 PM,39.982913,-83.01226,0,8.0,70.0,1050 NEIL AVE,G25,Operational,  $.75,2017-12-19
5568374972,30.0,29,3644455,NISS,04:36 PM,39.995206,-83.008314,0,17.0,30.0,100 BLOCK 11TH AVE W,UW122,Operational,  $.75,2018-04-10
5568426525,30.0,29,3604300,TOYT,08:36 PM,39.995068,-83.008021,0,17.0,0.0,100 BLOCK 11TH AVE W,UW122,Operational,  $.75,2018-04-20
5568031390,30.0,29,3376377,TOYT,12:38 PM,39.995221,-83.008566,0,7.0,30.0,AF45 11TH AVE W,UW122,Operational,  $.75,2017-12-09
